         654801 function calls (647944 primitive calls) in 280.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.006    0.000    0.441    0.028 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/sorting.py:695(_reorder_by_uniques)
        5    0.000    0.000    0.343    0.069 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:3942(tail)
       75    0.310    0.004    0.310    0.004 {pandas._libs.algos.take_2d_axis0_int64_int64}
      518    0.303    0.001    0.303    0.001 {method 'astype' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.277    0.017 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/generic.py:1258(aggregate)
       16    0.000    0.000    0.272    0.017 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/apply.py:145(agg)
       16    0.001    0.000    0.272    0.017 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/apply.py:374(agg_dict_like)
       99    0.247    0.002    0.259    0.003 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexers/utils.py:241(maybe_convert_indices)
       16    0.000    0.000    0.252    0.016 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/apply.py:420(<dictcomp>)
    39/37    0.000    0.000    0.250    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/generic.py:218(aggregate)
       18    0.248    0.014    0.248    0.014 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
       13    0.001    0.000    0.247    0.019 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:664(__init__)
       37    0.000    0.000    0.245    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/base.py:195(grouped_reduce)
       32    0.000    0.000    0.245    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1474(_cython_agg_general)
       32    0.000    0.000    0.241    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1488(array_func)
       32    0.000    0.000    0.241    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/ops.py:940(_cython_operation)
       75    0.000    0.000    0.239    0.003 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:6342(copy)
      298    0.237    0.001    0.238    0.001 {pandas._libs.lib.infer_dtype}
       99    0.000    0.000    0.237    0.002 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:620(copy)
       84    0.000    0.000    0.235    0.003 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:251(_get_hashtable_algo)
        1    0.000    0.000    0.234    0.234 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:67(perform_task_2)
       84    0.001    0.000    0.233    0.003 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:269(_check_object_for_strings)
       13    0.000    0.000    0.223    0.017 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1137(_get_merge_keys)
      138    0.222    0.002    0.222    0.002 {method 'nonzero' of 'numpy.ndarray' objects}
       31    0.013    0.000    0.221    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/ops.py:863(has_dropped_na)
        6    0.001    0.000    0.221    0.037 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/base.py:928(value_counts)
        6    0.000    0.000    0.220    0.037 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:800(value_counts)
        8    0.000    0.000    0.214    0.027 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:1798(_drop_labels_or_levels)
        6    0.207    0.034    0.207    0.034 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:908(value_counts_arraylike)
       13    0.198    0.015    0.200    0.015 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:2520(_get_join_keys)
      118    0.197    0.002    0.197    0.002 {built-in method numpy.arange}
        3    0.000    0.000    0.192    0.064 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/series.py:5587(dropna)
        1    0.000    0.000    0.192    0.192 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:669(remove_na_arraylike)
       17    0.070    0.004    0.188    0.011 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/sorting.py:109(get_group_index)
       18    0.009    0.000    0.186    0.010 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:3589(to_csv)
       21    0.001    0.000    0.180    0.009 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexes/range.py:202(_data)
        5    0.001    0.000    0.177    0.035 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/indexing.py:237(_descending_count)
       18    0.000    0.000    0.177    0.010 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/format.py:1137(to_csv)
       18    0.001    0.000    0.172    0.010 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/csvs.py:235(save)
       64    0.002    0.000    0.163    0.003 {built-in method builtins.print}
       21    0.000    0.000    0.161    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:1084(__repr__)
       21    0.001    0.000    0.159    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:1190(to_string)
     2566    0.001    0.000    0.157    0.000 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexes/base.py:4937(_values)
       21    0.000    0.000    0.156    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/format.py:1111(to_string)
       18    0.000    0.000    0.154    0.009 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/csvs.py:261(_save)
       21    0.000    0.000    0.154    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/string.py:29(to_string)
       21    0.000    0.000    0.154    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/string.py:41(_get_string_representation)
       18    0.009    0.000    0.154    0.009 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/csvs.py:294(_save_body)
       74    0.001    0.000    0.151    0.002 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:1471(safe_sort)
       18    0.000    0.000    0.145    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/csvs.py:304(_save_chunk)
       15    0.013    0.001    0.143    0.010 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:3985(_mask_selected_obj)
      108    0.000    0.000    0.138    0.001 <__array_function__ internals>:177(putmask)
       16    0.000    0.000    0.134    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1773(mean)
     1301    0.133    0.000    0.133    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       30    0.001    0.000    0.131    0.004 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/sorting.py:630(get_group_index_sorter)
       30    0.131    0.004    0.131    0.004 {pandas._libs.algos.groupsort_indexer}
       54    0.128    0.002    0.128    0.002 {pandas._libs.algos.take_2d_axis1_float64_float64}
        1    0.001    0.001    0.125    0.125 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:147(calculate_impact_metrics)
      978    0.009    0.000    0.122    0.000 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/construction.py:494(sanitize_array)
        2    0.000    0.000    0.116    0.058 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/generic.py:292(_aggregate_multiple_funcs)
       16    0.000    0.000    0.112    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:2242(sum)
       18    0.006    0.000    0.112    0.006 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:10967(_logical_func)
       13    0.000    0.000    0.112    0.009 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/series.py:992(__getitem__)
       16    0.000    0.000    0.111    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1413(_agg_general)
       13    0.000    0.000    0.110    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/series.py:1095(_get_values)
        8    0.000    0.000    0.110    0.014 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:11339(all)
       13    0.000    0.000    0.110    0.008 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:1958(getitem_mgr)
        8    0.000    0.000    0.110    0.014 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:11021(all)
       21    0.000    0.000    0.102    0.005 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/string.py:154(_fit_strcols_to_terminal_width)
      925    0.042    0.000    0.101    0.000 {pandas._libs.lib.maybe_convert_objects}
        1    0.002    0.002    0.097    0.097 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:10453(_reduce)
       42    0.000    0.000    0.095    0.002 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/string.py:35(_get_strcols)
      488    0.002    0.000    0.095    0.000 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1171(maybe_infer_to_datetimelike)
       42    0.000    0.000    0.095    0.002 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/formats/format.py:611(get_strcols)
       28    0.000    0.000    0.093    0.003 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/ops/common.py:67(new_method)
        2    0.000    0.000    0.093    0.046 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:118(process_world_bank_data)
       12    0.000    0.000    0.088    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/ops.py:821(codes)
       12    0.000    0.000    0.088    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/ops.py:824(<listcomp>)
